,관광지명,도시,테마,도로명주소,지번주소,위도,경도,구글별점,검색건수,데이터셋카테고리,지도상 관광지명,별점,리뷰개수
422,대청호반,대전광역시,,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동 57,36.47362538,127.4735679,,153000,,대청호반자연생태공원,4.3,532
423,장태산휴양림,대전광역시,,대전광역시 서구 장안로 461,대전광역시 서구 장안동 259,36.21596913,127.3412778,,160000,,장태산 자연휴양림,4.5,4152
424,대전둘레산길,대전광역시,,대전광역시 중구 보문산공원로 440,대전광역시 중구 대사동 195-2,36.30879672,127.4231236,,431000,,시루봉,5.0,1
425,유성온천,대전광역시,,대전광역시 유성구 계룡로60,대전광역시 유성구 봉명동 574,36.3547298,127.3375865,,619000,,유성온천대온탕,4.1,348
426,팔공산 하늘정원,경상북도 군위군,,,경상북도 군위군 부계면 동산리 산 74-18,36.0238129761,128.6967605094,,91700,,팔공산 하늘정원,4.4,383
427,김수환 추기경 사랑과 나눔 공원,경상북도 군위군,,경상북도 군위군 군위읍 군위금성로 270,경상북도 군위군 군위읍 용대리 424,36.2324488883,128.599612947,,8780,,김수환 추기경 사랑과 나눔공원,4.5,499
428,사라온 이야기 마을,경상북도 군위군,,경상북도 군위군 군위읍 동서길 49,경상북도 군위군 군위읍 서부리 44-1,36.2361553599,128.5677327961,,2380000,,사라온 이야기마을,3.9,281
429,금정산,부산광역시 금정구,,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.2830426366,129.0676207876,,564000,,금정산,4.6,91
430,범어사,부산광역시 금정구,,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,,0,,범어사,4.6,3032
431,회동수원지,부산광역시 금정구,,부산광역시 금정구 오륜대로258,부산광역시 금정구 오륜동 353-2,35.24707332,129.115753,,0,,회동수원지,4.4,91
432,서동미로시장,부산광역시 금정구,,부산광역시 금정구 서동로141번길 16,부산광역시 금정구 서동 341-10,35.21586987,129.102466,,57100,,서동미로시장,4.1,536
433,스포원파크,부산광역시 금정구,,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,35.28912108,129.1070434,,689000,,스포 원 Spo 1,4.3,1480
434,한국이슬람부산성원,부산광역시 금정구,,부산광역시 금정구 금단로 113-13,부산광역시 금정구 남산동 30-1,35.25998626,129.0922564,,53000,,한국이슬람중앙회 부산성원,4.7,368
435,요산문학관,부산광역시 금정구,,부산광역시 금정구 팔송로 60-6,부산광역시 금정구 남산동 662,35.27236562,129.085732,,17200,,요산김정한문학관,4.0,22
436,오륜대한국순교자박물관,부산광역시 금정구,,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,35.24570172,129.1009016,,17800,,천주교 오륜대 한국순교자 박물관,4.6,80
437,부산대젊음의거리,부산광역시 금정구,,부산광역시 금정구 장전온천천로 51,부산광역시 금정구 장전동 643-117,35.229587,129.0888177,,42200,,부산대학교,4.4,559
438,금정산성마을,부산광역시 금정구,,부산광역시 금정구 산성로 452,부산광역시 금정구 금성동 554-3,35.250339,129.0561338,,86100,,금정산성마을,None,None
439,삽교호관광지,충청남도 당진시,,충청남도 당진시 신평면 삽교천3길 100,,36.88890544,126.8247541,,65200,,삽교호 관광지,3.9,2998
440,왜목마을관광지,충청남도 당진시,,충청남도 당진시 석문면 왜목길 15-5,,37.04493276,126.5246154,,114000,,왜목마을,3.9,4351
441,난지섬관광지,충청남도 당진시,,충청남도 당진시 석문면 난지1길 67,,37.047036,126.4242087,,101000,,난지섬관광지관리사무소,2.8,6
442,유당공원,전라남도 광양시,,전라남도 광양시 광양읍 백운로 14,전라남도 광양시 광양읍 목성리 673-1,34.97010442,127.5924243,,70600,,유당공원,4.2,141
443,서천무지개분수대,전라남도 광양시,,,전라남도 광양시 광양읍 칠성리 729,34.9735109015,127.5756853563,,10100,,반포대교 달빛무지개분수,4.5,2672
