,관광지,별점,리뷰수
565,함평 양서 파충류 생태공원,4.7,3
566,함평엑스포공원 워터파크,4.3,141
567,일강김철선생기념관,3.4,24
568,불갑사,4.5,23
569,협재해수욕장,4.6,"5,927"
570,곽지해수욕장,4.6,112
571,김녕미로공원,4.2,"3,567"
572,제주절물자연휴양림,4.6,840
573,노루생태관찰원,3.8,9
574,별빛누리공원,4.0,"3,461"
575,예천수락대,4.4,91
576,예천 삼강주막,4.3,3
577,서동생태관광지,3.7,3
578,익산 미륵사지,4.4,"2,355"
579,보석테마관광지주차장,3.9,17
580,웅포관광지,4.1,140
581,운일암.반일암,4.6,11
582,마이산도립공원,4.4,250
583,용담댐,4.4,33
584,운장산자연휴양림,4.2,119
585,데미샘자연휴양림,4.3,173
586,진안고원치유숲,4.4,7
587,진안가위박물관,3.4,101
588,전통한방휴양관광지,4.3,492
589,지리산 중산리계곡,4.5,233
590,전통한방휴양관광지,4.2,54
591,도림사,4.4,31
592,공곶이,3.9,693
593,섬진강기차마을,4.2,924
594,대성수상레저,4.3,70
595,산장국민관광지관리사무소,4.1,306
596,거제맹종죽테마파크,4.2,216
597,거제박물관 Geoje Museum,3.1,50
598,거제시농업개발원,4.2,14
599,거제해양레포츠센터(구거제요트학교),4.7,15
600,거제자연휴양림,,
601,계도어촌체험마을,3.7,3
602,다대 어촌체험마을,4.1,28
603,도장포어촌계,4.0,2
604,거제 쌍근어촌체험마을,4.2,159
605,씨라인,5.0,1
606,오션어드벤처 천안,4.0,229
607,옥포대첩기념공원,4.3,71
608,"거제조선해양문화관 (1관:어촌민속전시관, 2관:조선해양전시관)",4.1,"1,300"
609,지심도,4.6,43
610,칠천량해전공원,4.0,1
611,거제도 포로수용소 유적공원,4.5,2
612,해금강,4.4,46
613,Oedo,4.4,45
614,김영삼대통령기록전시관,4.3,150
615,문동휴양지,4.4,126
616,바람의언덕갤러리,3.5,21
617,우제봉 전망대,4.4,347
618,청마기념관,3.7,7
619,씨월드,3.8,6
620,거제알로에,5.0,1
621,노을이 물드는 언덕,4.4,259
622,수협효시공원,4.2,115
623,대전오월드,3.9,21
624,뿌리공원,4.3,36
625,대전아쿠아리움,4.0,"1,827"
626,소요산국민관광지,4.2,439
627,진하해수욕장,4.2,88
628,영남알프스 복합웰컴센터,4.7,97
629,외고산 옹기마을,4.6,54
630,울주 대곡리 반구대 암각화,4.4,525
631,작괘천,4.5,39
632,내원암,4.3,188
633,울산간절곶대송등대잔디광장,3.8,24
634,수승대(搜勝臺),4.4,24
635,백두산천지온천,4.3,655
636,회산백련지,4.3,17
637,은평 역사한옥 박물관,4.1,"2,990"
638,금성당,4.0,224
639,괴강로,4.3,130
640,수옥정,4.6,5
641,변산해수욕장,4.2,31
642,위도해수욕장,,
643,모항갯벌해수욕장,4.4,56
644,좌구산 휴양랜드 좌구산자연휴양림,4.5,913
645,좌구산천문대,4.4,637
646,증평민속체험박물관,4.3,347
647,보강천 미루나무 숲,4.4,332
648,증평인삼판매장,3.9,25
649,(주)블랙스톤에듀팜리조트,4.5,2
650,반월호수공원,4.3,556
651,초막골생태공원,4.6,188
652,수리산도립공원 제3산림욕장,4.3,10
653,수리산산림욕장,4.3,134
654,철쭉동산.철쭉공원,4.5,12
655,수리사,4.3,174
656,대야물누리체험관 (군포대야물말끔터),3.4,7
657,누리천문대,4.3,108
658,문경새재 도립공원,4.1,"1,041"
659,문경에코랄라,3.6,925
660,문경철로자전거 진남역,4.2,731
661,구랑리역 철로자전거,4.5,2
662,문경철로자전거 진남역,3.8,14
663,문경오미자테마터널,4.4,8
664,문경 토끼비리,4.0,98
665,짚라인코리아 문경지점,4.1,156
666,문경종합온천,2.8,6
667,문경활공랜드 패러글라이딩,4.3,604
668,불정자연휴양림,,
669,선바위관광지,,
670,탑산약수온천,,
671,석정온천휴스파,4.2,"1,495"
672,고석정,4.3,193
673,직탕폭포,4.1,"1,558"
674,오동도,4.4,302
675,진남관,4.1,"8,106"
676,대한불교조계종 향일암,3.7,602
677,여수해상케이블카 돌산탑승장,2.5,2
678,여수세계박람회장,5.0,1
